Date,domestic passengers_log_diff,international passenegrs_log_diff,domestic freight(in tonne)_log_diff,international freight(in tonne)_log_diff,GDP (in dollars)_log_diff,Population,Jet Fuel Price per Gallon_log_diff,Inflation Rate _log_diff,Unemployement Rate_log_diff,Rupees Exchange Rate_log_diff
2012-01-01,-0.051555273816971336,0.03155493470982229,-0.10712228433921389,-0.06983109450333913,0.002512272286040229,1278674502,0.04461273762004847,0.0620100747842125,0.006540245680609846,-0.026699206355240257
2012-01-02,-0.05454680391009781,-0.1223022373676681,0.01879035068666468,0.03585685841859032,0.0,1278674502,-0.002976475393390743,0.0,0.0,-0.036338595936279194
2012-01-03,-0.036864686592215534,0.0597023799514087,0.10705854576584173,0.0748695417006715,0.0,1278674502,0.03844713389543308,0.0,0.0,0.023710172388099693
2012-01-04,0.03691783768259427,-0.1460208095742601,-0.13346502578844976,-0.036460505799784215,0.0,1278674502,0.019760742103486884,0.0,0.0,0.02606713003180161
2012-01-05,0.06696329294133996,-0.0739496084536242,0.17418914331027757,-0.13854239527999646,0.0,1278674502,-0.033587971161314734,0.0,0.0,0.04981222135548391
2012-01-06,-0.060041281927567525,-0.05243518004978398,-0.11442476885237163,-0.014620374959424254,0.0,1278674502,-0.0741555742006188,0.0,0.0,0.029203127210382096
2012-01-07,-0.12810250023419556,-0.050847716137507604,-0.017896666312678278,-0.05840396615925769,0.0,1278674502,0.06782368887016155,0.0,0.0,-0.009339148338981751
2012-01-08,-0.03416584041319304,-0.002556634447632433,-0.03344400867357855,-0.03996277297840578,0.0,1278674502,0.0879917158296486,0.0,0.0,0.0012622849029781946
2012-01-09,-0.08482620880324276,-0.03974647312958979,0.013525967908517345,0.0035721643700483696,0.0,1278674502,-0.007154129812043664,0.0,0.0,-0.020758210770591923
2012-01-10,0.13202842845945284,0.05459499145355373,0.17386019075118497,-0.0026925794773813294,0.0,1278674502,-0.05520067339152668,0.0,0.0,-0.023267685319324993
2012-01-11,0.09273345238512753,0.07249463268940026,-0.1432396389424504,0.10690670846683403,0.0,1295829511,-0.017018040484311214,0.0,0.0,0.031148235587039164
2012-01-12,0.05415952146832659,0.20748492786131756,0.022775792775595605,-0.0011594204197340474,0.0,1295829511,-0.008681148336711964,0.0,0.0,-0.0023759492123849313
2013-01-01,-0.03561534992698867,-0.03955935985657533,-0.03263008418132607,0.017407198374346677,0.01578810347549009,1295829511,0.044519453903796524,0.0553987793897881,0.005201572196073645,-0.007714953769578425
2013-01-02,-0.04615013931278078,-0.11996773290625384,-0.07893545050729678,-0.06425872404045485,0.0,1295829511,0.029753096917787936,0.0,0.0,-0.007774937351640698
2013-01-03,0.056634301098263506,0.111808074711643,0.07846053615256388,0.21167217035141128,0.0,1295829511,-0.06862123939843734,0.0,0.0,0.011272409853771759
2013-01-04,-0.01743554666902547,-0.07271720763366041,-0.06088973906874173,-0.045234646531502776,0.0,1295829511,-0.055971573789319606,0.0,0.0,-0.0018392501046595733
2013-01-05,0.11289886789798054,0.051981143423294185,0.10473647041774115,-0.03795449600837841,0.0,1295829511,-0.017974448101831797,0.0,0.0,0.01207699948665919
2013-01-06,-0.13037414836201755,0.011992625680827373,0.011912012373267444,-0.045079314784327806,0.0,1295829511,0.07413178615683247,0.0,0.0,0.06000388268886869
2013-01-07,-0.028149777939354692,-0.07722228041467893,0.08760220000186081,0.07528383658575777,0.0,1295829511,0.06872453424735792,0.0,0.0,0.023363175398593228
2013-01-08,0.07729878268500734,0.083591467115669,-0.234600970510634,-0.13320811675963817,0.0,1295829511,0.09278466020456655,0.0,0.0,0.049777755641727595
2013-01-09,-0.14195567407306164,-0.06439690949300214,0.22882214144411428,0.07855394259644122,0.0,1295829511,-0.015716581337536617,0.0,0.0,0.013285028537126209
2013-01-10,0.09556204285323133,0.04718924583276163,0.07241899145029151,0.008776118008141154,0.0,1295829511,-0.04964410889695259,0.0,0.0,-0.032575129976936346
2013-01-11,0.02284321100766995,-0.007450174502308116,-0.16427260144389066,0.025875484314527242,0.0,1295829511,-0.001913983921383533,0.0,0.0,0.014662310526796674
2013-01-12,0.0804079787695855,0.11078769608075945,0.09350811446295992,0.031208878306628662,0.0,1295829511,0.031012387410160436,0.0,0.0,-0.01142134188209365
2014-01-01,-0.07330776497865799,0.17078035423612903,-0.03185250086888303,-0.06815394526325136,0.09370921750745609,1312277191,-0.008558314251728483,-0.40696323572918636,-0.005201572196073645,0.004841842900029647
2014-01-02,-0.03780027702708999,-0.1296927018400158,-0.07221324041503863,-0.057898606323782076,0.0,1312277191,0.017314794752875784,0.0,0.0,0.0008046994881798497
2014-01-03,0.06621875122665166,0.0985293307547419,0.1531440382494278,0.1900313973217198,0.0,1312277191,-0.04700749025524331,0.0,0.0,-0.019657850132110966
2014-01-04,0.007475352374809674,-0.00596781553460346,-0.04795715446298665,-0.07915378634282355,0.0,1312277191,-0.010727634975763678,0.0,0.0,-0.009892908383740462
2014-01-05,0.12349074068572996,0.018358204559419278,0.1275608724976287,0.0415867086793682,0.0,1312277191,-0.02386110708749989,0.0,0.0,-0.017888966555708485
2014-01-06,-0.05931936765298573,-0.018896265601954454,0.0052810187712726275,-0.017591731318763237,0.0,1312277191,0.011391973645259235,0.0,0.0,0.007729831800132203
2014-01-07,-0.07845219560467065,-0.02904633719925087,0.057833785804131566,0.0012932429865806228,0.0,1312277191,-0.017284742612410753,0.0,0.0,0.006008028753197614
2014-01-08,0.08802941897793914,0.07596848059561623,-0.008958791010055478,-0.05040697939633709,0.0,1312277191,0.021516265026508385,0.0,0.0,0.012730600964671268
2014-01-09,0.01697433634874912,-0.09785011742694394,0.04080724188506579,0.048096442324059296,0.0,1312277191,-0.03970671739802789,0.0,0.0,0.0004927322100183318
2014-01-10,0.014619248948402941,0.04799678608289071,-0.03511913965837188,0.008155411847505789,0.0,1312277191,-0.09614109970449292,0.0,0.0,0.00768794168515452
2014-01-11,-0.00821522643528283,-0.02037025871604392,0.013983865074811419,0.006859678428197569,0.0,1312277191,-0.06324948570485045,0.0,0.0,0.0050386128540687025
2014-01-12,0.09195324208779887,0.1447103336318456,-0.060446836806256954,-0.0019159715728438442,0.0,1312277191,-0.22664370514656884,0.0,0.0,0.01656119529985478
2015-01-01,-0.01958246536710817,0.04906151755037058,-0.021800216088118773,-0.11325562861497751,0.031123109706797436,1328024498,-0.19479499007723788,-0.306345918121103,-0.005228770082799095,-0.009291960479326455
2015-01-02,-0.03730794470396681,-0.15046098394688556,-0.0036975404996564265,-0.013851564119285342,0.0,1328024498,0.16422806518812205,0.0,0.0,-0.0022558823617746526
2015-01-03,0.04284488908357709,0.07183974625700174,0.02698208187629625,0.13034395788604058,0.0,1328024498,-0.07396753454991778,0.0,0.0,0.007873423817602365
