Date,dom_pass,int_pass,dom_freight,int_freight,gdp,population,jet_fuel,inflation,unemployment,exchange_rate
12-01-2014,6339272,1579697,39046,21900,2.03913E+12,1312277191,112.94,6.67,7.67,62.71
01-01-2015,6216341,1659132,38204,19555,2.10359E+12,1328024498,92.95,4.91,7.63,62.13
02-01-2015,5988695,1427370,38063,19286,2.10359E+12,1328024498,109.54,4.91,7.63,61.99
03-01-2015,6250856,1533685,39104,21971,2.10359E+12,1328024498,101.73,4.91,7.63,62.48
04-01-2015,6538477,1511910,39029,21109,2.10359E+12,1328024498,106.81,4.91,7.63,62.64
05-01-2015,7097141,1604302,42325,21227,2.10359E+12,1328024498,117.99,4.91,7.63,63.71
06-01-2015,6568843,1503112,39713,21425,2.10359E+12,1328024498,110.61,4.91,7.63,63.78
07-01-2015,6747792,1513428,42686,21167,2.10359E+12,1328024498,98.59,4.91,7.63,63.6
08-01-2015,6735367,1599496,42048,21042,2.10359E+12,1328024498,90.39,4.91,7.63,65.1
09-01-2015,6637323,1436661,41455,20424,2.10359E+12,1328024498,92.37,4.91,7.63,66.17
10-01-2015,7008489,1439380,45178,21741,2.10359E+12,1328024498,90.52,4.91,7.63,65.03
11-01-2015,7289547,1505470,40167,20768,2.10359E+12,1328024498,87.58,4.91,7.63,66.1
12-01-2015,7674872,1681748,41755,21257,2.10359E+12,1328024498,72.06,4.91,7.63,66.5
01-01-2016,7620879,1694959,51835,19983,2.2948E+12,1343944296,62.58,4.95,7.6,67.33
02-01-2016,7443543,1494963,50553,20345,2.2948E+12,1343944296,66.4,4.95,7.6,68.24
03-01-2016,7835402,1639804,51049,21581,2.2948E+12,1343944296,71.69,4.95,7.6,66.89
04-01-2016,7896940,1618535,48489,21301,2.2948E+12,1343944296,76.24,4.95,7.6,66.42
05-01-2016,8623381,1691268,52117,21881,2.2948E+12,1343944296,86.89,4.95,7.6,66.89
06-01-2016,7933791,1583651,52220,22482,2.2948E+12,1343944296,92.98,4.95,7.6,67.27
07-01-2016,8475231,1739082,53157,21573,2.2948E+12,1343944296,85.5,4.95,7.6,67.16
08-01-2016,8349518,1742394,53168,22451,2.2948E+12,1343944296,86.68,4.95,7.6,66.9
09-01-2016,8198645,1646297,55743,22722,2.2948E+12,1343944296,88.03,4.95,7.6,66.71
10-01-2016,8640189,1638643,60831,24835,2.2948E+12,1343944296,97.27,4.95,7.6,66.74
11-01-2016,8941496,1680963,49180,24568,2.2948E+12,1343944296,91.57,4.95,7.6,67.64
12-01-2016,9516243,1953141,52834,26007,2.2948E+12,1343944296,101.24,4.95,7.6,67.81
01-01-2017,9548612,1997487,52094,25513,2.65147E+12,1359657400,103.11,3.33,7.62,68.05
02-01-2017,8616856,1675453,49906,26784,2.65147E+12,1359657400,103.81,3.33,7.62,66.97
03-01-2017,9007696,1847324,57981,32826,2.65147E+12,1359657400,95.25,3.33,7.62,65.8
04-01-2017,9100687,1844672,52915,30900,2.65147E+12,1359657400,97.42,3.33,7.62,64.54
05-01-2017,10140073,1934268,57658,32011,2.65147E+12,1359657400,90.96,3.33,7.62,64.42
06-01-2017,9536983,1799327,58188,30822,2.65147E+12,1359657400,83.44,3.33,7.62,64.45
07-01-2017,9533226,1967472,58459,29592,2.65147E+12,1359657400,91.31,3.33,7.62,64.42
08-01-2017,9663380,2019818,59379,30001,2.65147E+12,1359657400,99.85,3.33,7.62,63.97
09-01-2017,9550493,1855912,63950,29221,2.65147E+12,1359657400,116.03,3.33,7.62,64.48
10-01-2017,10418436,1926185,60568,30691,2.65147E+12,1359657400,107.98,3.33,7.62,65.04
11-01-2017,10453411,1931905,56815,32042,2.65147E+12,1359657400,114.18,3.33,7.62,64.84
12-01-2017,11206075,2213426,59022,32090,2.65147E+12,1359657400,116.73,3.33,7.62,64.24
01-01-2018,11448112,2246251,55200,31000,2.70293E+12,1374659064,124.23,3.94,7.65,63.65
02-01-2018,10720207,1925141,53910,28922,2.70293E+12,1374659064,119.03,3.94,7.65,64.43
03-01-2018,11544833,2139859,60466,33327,2.70293E+12,1374659064,120.79,3.94,7.65,65.05
04-01-2018,11475498,2076028,58283,32942,2.70293E+12,1374659064,132.31,3.94,7.65,65.67
05-01-2018,11818634,2103686,64885,32987,2.70293E+12,1374659064,145.56,3.94,7.65,67.51
06-01-2018,11288337,2030033,65874,30749,2.70293E+12,1374659064,141.69,3.94,7.65,67.79
07-01-2018,11658023,2144638,67983,32669,2.70293E+12,1374659064,144.13,3.94,7.65,68.69
08-01-2018,11319216,2151379,66478,32848,2.70293E+12,1374659064,147.27,3.94,7.65,69.63
09-01-2018,11363706,1981817,66976,32329,2.70293E+12,1374659064,158.27,3.94,7.65,72.28
10-01-2018,11805382,2044841,70617,34463,2.70293E+12,1374659064,165.57,3.94,7.65,73.56
11-01-2018,11606526,2179674,59286,32433,2.70293E+12,1374659064,139.7,3.94,7.65,71.74
12-01-2018,12649810,2462781,62152,33378,2.70293E+12,1374659064,120.13,3.94,7.65,70.83
01-01-2019,12469075,2495259,59523,28733,2.83561E+12,1389030312,126.22,3.73,6.51,70.71
02-01-2019,11321549,2128216,55422,30468,2.83561E+12,1389030312,136.29,3.73,6.51,71.17
03-01-2019,11557816,2101363,63467,30177,2.83561E+12,1389030312,132.15,3.73,6.51,71.17
04-01-2019,10967168,1831295,58226,21480,2.83561E+12,1389030312,137.26,3.73,6.51,69.49
05-01-2019,12151749,1772703,64865,19259,2.83561E+12,1389030312,137.62,3.73,6.51,69.41
06-01-2019,11989365,1810294,62133,16674,2.83561E+12,1389030312,126.17,3.73,6.51,69.78
07-01-2019,11863940,1829814,65224,19219,2.83561E+12,1389030312,131.63,3.73,6.51,69.39
08-01-2019,11756732,1975423,65145,17632,2.83561E+12,1389030312,128.06,3.73,6.51,68.74
09-01-2019,11488069,1880102,64134,18077,2.83561E+12,1389030312,133.89,3.73,6.51,71.19
10-01-2019,12280250,1993657,67926,19136,2.83561E+12,1389030312,132.23,3.73,6.51,71.31
11-01-2019,12910135,2126615,60574,19129,2.83561E+12,1389030312,130.29,3.73,6.51,71.01
12-01-2019,12980408,2342913,59153,20062,2.83561E+12,1389030312,134.76,3.73,6.51,71.49
01-01-2020,12747591,2311641,60964,19338,2.67485E+12,1402617695,126.75,6.62,7.86,71.16
02-01-2020,12331165,1934992,58662,19272,2.67485E+12,1402617695,107.82,6.62,7.86,71.28
03-01-2020,12577361.08,2030792.788,42447,12820,2.67485E+12,1402617695,70.82,6.62,7.86,71.53
04-01-2020,12635182.35,2027317.567,59926.89744,15271.80627,2.67485E+12,1402617695,46.17,6.62,7.86,74.55
05-01-2020,12693003.62,2023842.346,59815.92186,14512.05963,2.67485E+12,1402617695,51.9,6.62,7.86,76.17
06-01-2020,12750824.89,2020367.125,59704.94628,13752.31298,2.67485E+12,1402617695,74.42,6.62,7.86,75.66
07-01-2020,12808646.17,2016891.904,59593.9707,12992.56634,2.67485E+12,1402617695,81.32,6.62,7.86,75.71
08-01-2020,12808646.17,2013416.683,59482.99512,12232.8197,2.67485E+12,1402617695,83.04,6.62,7.86,74.93
09-01-2020,12808646.17,2009941.463,59372.01954,10199,2.67485E+12,1402617695,73.94,6.62,7.86,74.57
10-01-2020,12808646.17,2006466.242,51617,12105,2.67485E+12,1402617695,76.93,6.62,7.86,73.52
11-01-2020,12808646.17,2002991.021,48603,11548,2.67485E+12,1402617695,84.15,6.62,7.86,73.56
12-01-2020,12808646.17,1999515.8,52379,12026,2.67485E+12,1402617695,97.52,6.62,7.86,74.23
01-01-2021,12808646.17,1123380.596,49193,13557,3.16727E+12,1414203896,103.81,5.13,6.38,73.62
02-01-2021,12808646.17,1164931.07,50265,13720,3.16727E+12,1414203896,116.5,5.13,6.38,73.11
03-01-2021,12808646.17,1206481.545,55343,16289,3.16727E+12,1414203896,120.91,5.13,6.38,72.81
04-01-2021,12808646.17,1248032.02,49808,17797,3.16727E+12,1414203896,124.2,5.13,6.38,72.82
05-01-2021,7802608.549,1289582.495,35900,15728,3.16727E+12,1414203896,128.52,5.13,6.38,74.52
06-01-2021,8006224.591,1331132.969,40418,15115,3.16727E+12,1414203896,136.6,5.13,6.38,73.21
